NAME,B25064_001E,B25070_010E,state,county,year
"Merced County, California",832,9081,06,047,2012
"Mariposa County, California",797,330,06,043,2012
"Yuba County, California",870,2119,06,115,2012
"Contra Costa County, California",1340,33316,06,013,2012
"Lassen County, California",873,1036,06,035,2012
"Stanislaus County, California",978,20636,06,099,2012
"Sonoma County, California",1243,19357,06,097,2012
"Tehama County, California",824,1846,06,103,2012
"Mono County, California",1146,531,06,051,2012
"San Benito County, California",1266,1729,06,069,2012
"Sacramento County, California",1019,59896,06,067,2012
"El Dorado County, California",1109,4225,06,017,2012
"Monterey County, California",1183,14816,06,053,2012
"Sierra County, California",1026,97,06,091,2012
"Butte County, California",885,10517,06,007,2012
"Plumas County, California",844,505,06,063,2012
"San Luis Obispo County, California",1197,12474,06,079,2012
"Kern County, California",869,28578,06,029,2012
"Ventura County, California",1447,25042,06,111,2012
"Calaveras County, California",1043,888,06,009,2012
"San Mateo County, California",1541,23580,06,081,2012
"Tuolumne County, California",922,1733,06,109,2012
"Amador County, California",1039,841,06,005,2012
"Orange County, California",1482,110228,06,059,2012
"Sutter County, California",869,3003,06,101,2012
"San Joaquin County, California",1021,25720,06,077,2012
"San Diego County, California",1282,132580,06,073,2012
"Tulare County, California",805,14061,06,107,2012
"Yolo County, California",1085,10108,06,113,2012
"Humboldt County, California",869,7935,06,023,2012
"Nevada County, California",1135,3171,06,057,2012
"Alpine County, California",755,10,06,003,2012
"Madera County, California",888,3587,06,039,2012
"Mendocino County, California",954,4318,06,045,2012
"Santa Cruz County, California",1380,11031,06,087,2012
"Trinity County, California",741,308,06,105,2012
"Los Angeles County, California",1187,511154,06,037,2012
"Riverside County, California",1163,66583,06,065,2012
"San Bernardino County, California",1099,66563,06,071,2012
"Santa Clara County, California",1508,57300,06,085,2012
"Marin County, California",1598,10591,06,041,2012
"Placer County, California",1220,9600,06,061,2012
"Siskiyou County, California",792,1958,06,093,2012
"Shasta County, California",916,7285,06,089,2012
"Solano County, California",1249,14572,06,095,2012
"Del Norte County, California",865,997,06,015,2012
"Glenn County, California",740,777,06,021,2012
"Lake County, California",864,3321,06,033,2012
"Modoc County, California",614,302,06,049,2012
"Inyo County, California",889,708,06,027,2012
"Santa Barbara County, California",1326,18319,06,083,2012
"Imperial County, California",725,5602,06,025,2012
"Alameda County, California",1265,65813,06,001,2012
"Napa County, California",1297,4813,06,055,2012
"San Francisco County, California",1447,47517,06,075,2012
"Colusa County, California",904,417,06,011,2012
"Kings County, California",874,4299,06,031,2012
"Fresno County, California",864,38944,06,019,2012
"San Diego County, California",1300,136066,06,073,2013
"Tulare County, California",821,15300,06,107,2013
"Yolo County, California",1082,10070,06,113,2013
"Humboldt County, California",889,7939,06,023,2013
"Nevada County, California",1217,3100,06,057,2013
"Alpine County, California",1018,21,06,003,2013
"Madera County, California",914,3548,06,039,2013
"Mendocino County, California",953,4033,06,045,2013
"Santa Cruz County, California",1385,11813,06,087,2013
"Trinity County, California",758,320,06,105,2013
"Los Angeles County, California",1204,526210,06,037,2013
"Riverside County, California",1168,68836,06,065,2013
"San Bernardino County, California",1102,68642,06,071,2013
"Santa Clara County, California",1566,60657,06,085,2013
"Marin County, California",1628,10539,06,041,2013
"Placer County, California",1242,9967,06,061,2013
"Siskiyou County, California",802,2237,06,093,2013
"Shasta County, California",919,7417,06,089,2013
"Solano County, California",1264,15867,06,095,2013
"Del Norte County, California",914,1078,06,015,2013
"Glenn County, California",720,767,06,021,2013
"Butte County, California",890,10496,06,007,2013
"Plumas County, California",799,594,06,063,2013
"San Luis Obispo County, California",1211,12786,06,079,2013
"Kern County, California",885,29338,06,029,2013
"Ventura County, California",1470,26175,06,111,2013
"Calaveras County, California",1061,846,06,009,2013
"San Mateo County, California",1602,24231,06,081,2013
"Tuolumne County, California",919,2018,06,109,2013
"Amador County, California",1006,907,06,005,2013
"Merced County, California",860,9325,06,047,2013
"Mariposa County, California",866,401,06,043,2013
"Yuba County, California",863,2479,06,115,2013
"Contra Costa County, California",1365,34291,06,013,2013
"Lassen County, California",867,947,06,035,2013
"Stanislaus County, California",992,21337,06,099,2013
"Sonoma County, California",1265,20140,06,097,2013
"Tehama County, California",821,1709,06,103,2013
"Mono County, California",1118,365,06,051,2013
"San Benito County, California",1233,1746,06,069,2013
"Sacramento County, California",1024,63678,06,067,2013
"El Dorado County, California",1090,4309,06,017,2013
"Monterey County, California",1209,16432,06,053,2013
"Sierra County, California",1040,63,06,091,2013
"Santa Barbara County, California",1340,19274,06,083,2013
"Imperial County, California",744,5732,06,025,2013
"Alameda County, California",1289,66698,06,001,2013
"Napa County, California",1350,4879,06,055,2013
"San Francisco County, California",1488,47839,06,075,2013
"Colusa County, California",923,437,06,011,2013
"Kings County, California",871,4534,06,031,2013
"Fresno County, California",875,39831,06,019,2013
"Orange County, California",1498,115275,06,059,2013
"Sutter County, California",889,3163,06,101,2013
"San Joaquin County, California",1026,26557,06,077,2013
"Lake County, California",900,3597,06,033,2013
"Modoc County, California",633,324,06,049,2013
"Inyo County, California",829,553,06,027,2013
"Lake County, California",921,3500,06,033,2014
"Modoc County, California",671,320,06,049,2014
"Inyo County, California",835,615,06,027,2014
"Santa Barbara County, California",1357,19869,06,083,2014
"Imperial County, California",772,5894,06,025,2014
"Alameda County, California",1325,68123,06,001,2014
"Napa County, California",1376,4977,06,055,2014
"San Francisco County, California",1533,47690,06,075,2014
"Colusa County, California",864,456,06,011,2014
"Kings County, California",875,4677,06,031,2014
"Fresno County, California",884,41782,06,019,2014
"Orange County, California",1522,119988,06,059,2014
"Sutter County, California",898,2947,06,101,2014
"San Joaquin County, California",1033,27425,06,077,2014
"Merced County, California",870,9394,06,047,2014
"Mariposa County, California",838,419,06,043,2014
"Yuba County, California",884,2628,06,115,2014
"Contra Costa County, California",1395,35574,06,013,2014
"Lassen County, California",901,878,06,035,2014
"Stanislaus County, California",993,21820,06,099,2014
"Sonoma County, California",1302,21228,06,097,2014
"Tehama County, California",833,1621,06,103,2014
"Mono County, California",1061,326,06,051,2014
"San Benito County, California",1265,1762,06,069,2014
"Sierra County, California",1010,71,06,091,2014
"Sacramento County, California",1035,65301,06,067,2014
"El Dorado County, California",1073,4431,06,017,2014
"Monterey County, California",1228,16616,06,053,2014
"San Diego County, California",1328,137411,06,073,2014
"Tulare County, California",826,15164,06,107,2014
"Yolo County, California",1096,10658,06,113,2014
"Humboldt County, California",899,7620,06,023,2014
"Nevada County, California",1190,3163,06,057,2014
"Alpine County, California",775,17,06,003,2014
"Madera County, California",937,3766,06,039,2014
